country,name,address,lat,lng
China,"Dalian Sportech Apparel Co., Ltd.","No. 153 West of Liaohe Road, Economic & Technical Development Zone, Dalian City, Liaoning Province 116600",35.86166,104.195397
China,"Dongguan Luyang Shoes Co., Ltd.","Development Zone of Chi-Ling, Hou Jie Town, DongGuan City, Guangdong Province 523940",22.9650092,113.6989893
China,Freetrend Industrial Ltd.,"Ao Pei Village, Pao-An Hsiang, Heng Kang Town, Lung- Kang Zone, Shenzhen, Guangdong 518115",22.6423264,114.1985192
China,Regina Miracle Intimate Apparel (Shenzhen) Ltd.,"No. 5 Cengyao Industrial Estate, Yulu, Gongming, Bao'An, Shenzhen, Guangdong 518106",22.7829489,113.8891105
China,"Zhejiang Walt Knitting Co., Ltd.","No. 18, Shi Jing Road, Haining, Zhejiang",30.535676,120.71372
El Salvador,Industrias Merlet S. A. de C.V.,"Calle Circunvalación, Pol. A, Nº 3, Urb. Industrial La Laguna, Antiguo Cuscatlán, La Libertad",13.6756725,-89.25147179999999
Israel,Hitex,"Industrial Center Teradyon, P.O.B. 1365, Misgav 20179",32.864535,35.278568
Jordan,Al Hanan,"Alhoson Street Bebrs Building, P.O.Box. 888 Irbid 21110",32.5782142,35.8686066
Jordan,Al Masera,"El Hasan industry Estate, Irbid",32.5009223,36.0299444
Philippines,Globalwear Manufacturing Inc. (GMM),"PPC 19 Bldg., Crescent Road, Lot 8, Block 4, Lapu-Lapu City, Cebu 6015",10.3232986,123.9114246
Philippines,Metro Wear Inc.,"Block C6, Corner 2nd Avenue, 5th St, Mactan Economic Zone 1, Lapu-Lapu City, Cebu 6015",10.3004067,123.9628086
Mexico,Robinson Manufacturing Co. de Mexico S.A. de C.V.,"Calle Industrial Alimenticia 2311, Linares 67735",24.885091,-99.56727099999999
Sri Lanka,Kusang Lanka Ltd.,"Aniyakanda Estate, Nagoda, Kandana",7.041411800000001,79.9039186
Taiwan,"Chuan Cheng Hat Co., Ltd., Ta-Ya Factory","No. 56, Chung San Road,Ta-Ya Hsiang, Taichung Hsien 42841",24.1477358,120.6736482
Turkey,Pim Tekstil San.Ve. Tic. Sti.,"Yarimburgaz Mh. Atatürk Cd. No.31, 34306 Cekmece, Istanbul 34290",41.0558738,28.7537345
USA,Catawba Sox LLC.,"1500 13th ST SW Hickory, NC 28601",35.710451,-81.360025
Vietnam,"Long Rich (VN) Co., Ltd.","Lot No. 1-4, 10-13, 26-37, Road 3 Industrial Zone in Linh Trung Export Processing II, Binh Chieu Commune, Thu Duc District, Ho Chi Minh City",10.8905409,106.7240667
Vietnam,"Star Fashion Co., Ltd.","Lot 3, Phu Nghia Industrial Zone, Phu Nghia Commune, Chuong My District, Hanoi",20.9303568,105.656734
