country,name,address,lat,lng
China,Fujian Jinjiang Huamei Knitting & Clothing Co Ltd,"Dongshan,Shenhu,Jinjiang,Fujiang,Xia Men",23.701262,117.430061
China,Fuzhou Donglin Shoe Co Ltd,"Fuxia,Guozai Gaishan Town,Cangshan,Fuzhou,Fujian",25.9902648,119.371317
China,Jinjiang Libixing Garment & Weaving Co Ltd,"Gaohu Industrial Zone,Yinglin Town,Jinjiang,Jing Jiang",24.781681,118.552365
China,Gaungzhou Junchi Garment Co Ltd,"No. 139,Asaia Industrial Zone,Xintang Town,Zengceng,Guangzhou",23.296786,113.823135
China,Jiangsu Rino Garment Co Ltd,"666,Huzhong South Road,Jianhu county,Yancheng",33.4585221,119.7912956
China,Jiangyin Dong AO Garment Co Ltd,"No. 7 Xiangyang Road,Bei Wan Village,Zhutang Town,Jiangyin",31.84019989999999,120.4308832
China,Nantong Hesheng Garment Co Ltd,"Yaojiaoyuan Village,Baipu Town,Rugao County,Nantong",32.241892,120.750353
China,Nantong Jun Yue Garment Co Ltd,"(South of Industry Zone) Team 8,Fengxian Village,Liuqiao Town,Tongzhou,District,Nantong",32.06568,121.073828
China,Tongzhou Skyline Garments Co Ltd,"Qingnian Road,Liuqiao Town,Tongzhou,Nantong",31.99982259999999,120.9314553
China,Zhangjiagang Shenglong Garment Co Ltd,"No. 43 Zhenbei Road,Xizhang Societ,Fenghuang Town,Zhangjiagang",31.792253,120.620266
China,Hangzhou Haoshi Rubber Products Co Ltd,"Qinzhe Village Yong Chang Town,Fuyang,Hangzhou",30.016027,119.979564
China,Jiangxi JHT Apparel Co Ltd,"Zhuqiao North Road,Changdong Industrial Area Qingshanhu Industry,Nanchang",28.6072944,115.9494542
China,Jiangyin Chenlong Garment Co,"No.7 Wanfu Road,Zhutang Town,Jiangyin",31.7701538,120.4044013
China,Jiangyi Kangxin Garment Co Ltd,"No 3 Huanxi Road,Zhutang Town,Jiangyin",31.830654,120.43482
China,Nanjing Biaomei Hom etextiles Co Ltd,"No.13 Erst Wuchu Road,Hengxi Town,Nanjing",32.060255,118.796877
China,Nantong Mr Rong Ga rment Co Ltd,"Bridge 2 Shenyang Community Xiayuan Town,Ru Gao",32.262253,120.654047
China,Zhangjiagang City Runda Finery Co Ltd,"Jingu Village Fenghuang Town,Zhangjiagang",31.875572,120.556005
China,Zhucheng Hengwei Clothing Co Ltd,"Southern Head Of East Outer Ring,Zhuchneg,Shandong",35.8939566,117.9249002
China,Zhucheng Huirun Garment Factory,"Lanjiacun Industrial Park,Zhucheng,Weifang",35.978556,119.396284
Bangladesh,Radial International Ltd (Unit-2),"Zirani Bazar,Kashimpur,Gazipur,Dhaka",23.9938369,90.25575669999999
Bangladesh,Radiance Fashion Ltd,"Ashulia,Savar,Dhaka",23.9003712,90.3272255
Bangladesh,Ratul Knitwears Ltd,"Cs.Sa-41,Zirabo,Savar,Dhaka",23.9101983,90.3172039
Bangladesh,Work Field Fashion Wears,"Bawpara,Kaultia,Gazipur Sadar,Dhaka",24.0678237,90.36106459999999
Bangladesh,Manami Fashions,"Kabirpur Ashulia,Savar,Dhaka",24.0153083,90.25035199999999
Bangladesh,Workfield Knitwears,"Bawpara,Kaultia,Gazipur Sadar,Dhaka",24.0678237,90.36106459999999
